ride_count,temperature,windSpeed,visibility,distance,humidity
1872,41.6,3.84,9.768,1.3,0.91
1872,41.77,4.02,9.808,2.44,0.71
3120,41.82,9.51,9.991,2.44,0.5
84,41.83,0.51,1.685,2.44,0.94
1596,41.83,1.83,5.589,2.44,0.64
1872,41.89,2.51,9.953,2.44,0.62
3276,41.91,8.42,10,2.44,0.88
1872,41.94,3.45,9.544,3.04,0.92
2340,41.97,10,9.784,3.04,0.91
672,41.99,0.53,4.675,3.04,0.9
3120,42.01,6.82,4.394,3.04,0.65
1008,42.02,2.01,6.397,3.04,0.69
1716,42.08,7.07,9.821,3.04,0.58
1872,42.11,7.26,9.779,2.59,0.81
1872,42.19,4.7,9.922,2.59,0.69
1872,42.21,7.12,9.81,2.59,0.73
3120,42.23,8.92,9.961,2.59,0.81
1872,42.25,7.86,9.169,2.59,0.95
1872,42.27,3.95,10,2.59,0.7
1872,42.34,8.66,10,2.59,0.92
1872,42.38,8.02,7.742,0.71,0.72
1872,42.42,7.41,9.608,0.71,0.6
1858,42.5,10.68,9.772,0.71,0.6
1872,42.81,7.54,9.956,0.71,0.9
1872,42.82,7.72,10,0.71,0.6
1872,42.84,8.28,9.858,0.71,0.9
1872,42.85,4.73,7.769,3.25,0.54
1872,42.85,7.92,9.984,3.25,0.71
1872,42.91,3.25,9.57,3.25,0.64
3120,42.95,9.42,10,3.25,0.92
1872,43,3.49,9.932,3.25,0.58
1872,43,10.72,9.931,3.25,0.73
3120,43.02,9.55,10,2.66,0.46
3120,43.03,11.62,2.642,2.66,0.66
1872,43.06,8.12,10,2.66,0.89
1872,43.14,1.93,9.661,2.66,0.6
3120,43.29,11.02,2.683,2.66,0.68
3120,43.38,12.12,4.273,2.66,0.89
1851,43.49,12.13,9.796,2.66,0.91
1680,43.51,2.73,6.121,3.26,0.5
1872,43.51,6.6,2.644,3.26,0.64
1872,43.57,6.34,2.636,3.26,0.91
3120,43.57,10.75,3.579,3.26,0.65
3120,43.58,11.98,4.786,2.39,0.69
3432,43.61,12,5.235,2.39,0.7
1872,43.64,2.73,9.88,2.39,0.78
1872,43.65,12.55,9.92,2.39,0.94
3120,43.73,11.14,4.503,3.28,0.69
1872,43.91,10.74,9.958,2.81,0.71
1872,43.91,11.24,9.973,2.81,0.51
1872,43.94,5.05,6.96,2.81,0.52
1872,43.96,5.48,10,2.81,0.91
1872,43.99,2.13,9.815,2.81,0.96
1680,44.15,3.53,8.561,2.81,0.79
3120,44.29,10.12,2.903,2.81,0.81
3120,44.34,7.86,5.177,1.4,0.86
4056,44.52,8.33,3.79,1.4,0.69
3120,44.88,8.86,3.522,1.4,0.57
1872,44.89,3.73,9.962,1.4,0.69
2604,44.93,7.02,9.967,1.4,0.54
3120,44.94,5.23,3.231,1.4,0.77
1680,44.95,7.78,8.677,1.4,0.69
1680,45.07,7.55,8.286,1.08,0.87
1872,45.12,7.64,9.945,1.08,0.81
1872,45.16,7.73,10,1.08,0.65
1872,45.18,5.38,8.432,1.08,0.69
1680,45.32,6.88,10,1.08,0.75
1872,45.35,3.84,9.854,1.08,0.7
1872,45.4,6.71,3.028,3.18,0.69
3120,45.45,6.87,2.686,3.18,0.67
1680,45.46,5.65,8.202,3.18,0.89
1872,45.58,1.25,1.413,3.18,0.69
1872,45.69,1.05,0.717,3.18,0.89
1872,45.78,1.71,1.46,3.18,0.71
1680,45.8,4.1,9.579,1.08,0.69
1872,45.82,4.16,9.874,1.08,0.81
1872,45.82,4.57,9.898,1.08,0.7
1680,45.83,4.22,8.104,1.08,0.86
1872,45.84,5.52,9.856,1.08,0.57
1872,45.96,5.65,10,1.08,0.91
1872,46.15,5.55,10,2.63,0.92
3120,46.23,5.47,3.564,2.63,0.6
3120,46.3,4.54,3.295,2.63,0.6
1872,46.36,4.03,10,2.63,0.74
1872,46.52,6.69,2.121,2.63,0.94
1872,46.59,3.33,9.627,2.63,0.87
1872,46.62,3.52,9.76,2.63,0.65
1872,46.66,5.21,10,3.14,0.54
1872,46.78,2.99,3.036,3.14,0.56
1872,46.78,5.89,2.03,3.14,0.96
1872,46.81,4.71,10,3.14,0.7
1872,46.91,5.28,9.963,3.14,0.73
1872,47.21,3.52,8.138,3.14,0.7
1872,47.25,5.68,10,1.79,0.63
1872,47.27,1.44,3.188,1.79,0.71
1872,47.34,3.47,8.099,1.79,0.6
1872,47.56,3.66,8.904,1.79,0.81
1872,47.71,2.45,4.031,1.79,0.69
1872,47.87,2.77,2.069,1.79,0.94
1872,47.93,2.7,4.315,1.79,0.81
1872,47.95,3.7,9.707,2.16,0.91
1872,48.11,2.38,2.678,2.16,0.38
1872,48.12,2.56,4.73,2.16,0.7
1872,48.23,4.88,1.588,2.16,0.62
1872,48.43,2.74,3.729,2.16,0.54
1872,48.45,2.74,6.639,2.16,0.73
1872,48.63,3.65,4.767,1.39,0.44
1872,48.83,2.83,7.79,1.39,0.83
1872,49.11,6.87,10,1.39,0.91
1872,49.34,4.2,7.188,1.39,0.69
1872,49.5,2.85,6.105,1.39,0.56
1872,49.65,5.44,9.598,1.39,0.92
1872,49.7,2.86,1.348,1.97,0.86
1872,49.88,3.38,3.052,1.97,0.7
1872,50.43,7.21,9.972,1.97,0.64
1872,50.71,3.55,9.909,1.97,0.64
1872,51.15,4.78,9.501,2.92,0.57
1872,51.84,3.58,9.961,2.92,0.91
1872,52.1,4.31,3.894,2.92,0.89
1872,52.45,4.95,10,2.92,0.69
1872,52.68,3.61,9.847,2.92,0.74
1872,52.9,7.4,10,2.92,0.69
1872,53.1,3.13,9.509,1.76,0.73
1872,53.34,7.32,10,1.76,0.65
1872,53.51,2.92,9.503,1.76,0.56
1872,54.38,5.81,9.936,1.76,0.9
1872,54.59,9.43,10,1.76,0.72
1872,54.62,11.12,10,1.76,0.7
1872,57.22,7.85,10,1.76,0.95
